city,state,median_age,male_population,female_population,total_population,number_of_veterans,foreign_born,average_household_size,state_code,race,count
JURUPA VALLEY,California,33,49430,50884,100314,3833,25338,3.87,CA,White,58201
LOS ANGELES,California,35,1958998,2012898,3971896,85417,1485425,2.86,CA,White,2177650
FLOWER MOUND,Texas,40,35200,35824,71024,4217,6860,3.01,TX,Hispanic or Latino,6149
VACAVILLE,California,35,50091,46703,96794,9064,10577,2.9,CA,Black or African-American,18023
CLARKSVILLE,Tennessee,29,75029,74161,149190,20803,8211,2.64,TN,American Indian and Alaska Native,2338
NEW BRITAIN,Connecticut,33,37350,35459,72809,2219,15080,2.52,CT,White,56431
TULSA,Oklahoma,35,197437,205654,403091,24672,43751,2.37,OK,Black or African-American,72643
SEATTLE,Washington,35,345659,338784,684443,29364,119840,2.13,WA,Hispanic or Latino,43060
MESA,Arizona,36,234998,236835,471833,31808,57492,2.68,AZ,American Indian and Alaska Native,16044
YONKERS,New York,38,96580,104538,201118,4801,61247,2.8,NY,Hispanic or Latino,73608
CAMDEN,New Jersey,27,36437,39694,76131,1425,11317,3.0,NJ,White,19907
ALEXANDRIA,Virginia,36,74989,78522,153511,10635,44030,2.2,VA,American Indian and Alaska Native,1133
JONESBORO,Arkansas,32,35666,38240,73906,3682,3222,2.44,AR,Black or African-American,14599
EL MONTE,California,37,57961,58784,116745,1686,59655,3.67,CA,Black or African-American,307
ROSWELL,Georgia,38,48637,45859,94496,3325,16501,2.7,GA,Asian,7240
OMAHA,Nebraska,34,218789,225098,443887,24503,48263,2.47,NE,Hispanic or Latino,63516
OMAHA,Nebraska,34,218789,225098,443887,24503,48263,2.47,NE,Black or African-American,64223
TROY,Michigan,43,42371,40905,83276,2975,21004,2.59,MI,American Indian and Alaska Native,1677
WINSTON-SALEM,North Carolina,34,112520,128712,241232,14521,24302,2.47,NC,American Indian and Alaska Native,1415
CORPUS CHRISTI,Texas,35,160488,163594,324082,25078,30834,2.69,TX,White,292663
ATLANTA,Georgia,33,223960,239915,463875,18572,32016,2.15,GA,American Indian and Alaska Native,4606
BRYAN,Texas,29,41761,40345,82106,3602,12014,2.55,TX,Black or African-American,11914
LYNCHBURG,Virginia,28,38614,41198,79812,4322,4364,2.48,VA,Black or African-American,23271
COLUMBIA,Maryland,37,52202,51265,103467,6526,23249,2.68,MD,Black or African-American,30075
KILLEEN,Texas,29,69442,71367,140809,24281,15769,2.72,TX,American Indian and Alaska Native,2362
NASHVILLE,Tennessee,34,314231,340365,654596,27942,88193,2.39,TN,Hispanic or Latino,67526
SOMERVILLE,Massachusetts,31,41028,39306,80334,2103,22292,2.43,MA,Asian,9498
BAKERSFIELD,California,30,182154,191473,373627,12284,71575,3.23,CA,American Indian and Alaska Native,7357
MONTGOMERY,Alabama,35,94582,106004,200586,14955,9337,2.41,AL,White,73545
HUNTSVILLE,Alabama,38,91764,97350,189114,16637,12691,2.18,AL,American Indian and Alaska Native,1755
GREENSBORO,North Carolina,35,132251,153093,285344,14011,26667,2.36,NC,Black or African-American,124108
TURLOCK,California,36,33190,39103,72293,3397,14686,2.76,CA,Asian,5232
LYNWOOD,California,29,35634,36371,72005,776,28061,4.43,CA,Asian,994
EL PASO,Texas,33,332797,348339,681136,47693,159709,3.03,TX,American Indian and Alaska Native,7359
LEXINGTON-FAYETTE  COUNTY,Kentucky,34,154032,160456,314488,16661,28613,2.34,KY,American Indian and Alaska Native,3187
ROCK HILL,South Carolina,34,33324,38243,71567,4755,2413,2.29,SC,Hispanic or Latino,2845
RICHARDSON,Texas,35,54676,56151,110827,4797,29579,2.83,TX,Black or African-American,13256
WACO,Texas,29,63452,68890,132342,10716,14235,2.57,TX,Black or African-American,29883
WACO,Texas,29,63452,68890,132342,10716,14235,2.57,TX,Asian,4230
SAN BUENAVENTURA,California,37,53932,55785,109717,5980,18025,2.68,CA,American Indian and Alaska Native,2808
STAMFORD,Connecticut,35,64941,63936,128877,2269,44003,2.7,CT,Asian,11013
VALLEJO,California,37,58379,62890,121269,8103,30592,2.83,CA,American Indian and Alaska Native,1671
DENVER,Colorado,34,341137,341408,682545,29363,113222,2.33,CO,Black or African-American,72288
SPRINGDALE,Arkansas,31,36840,43614,80454,3397,19969,3.04,AR,American Indian and Alaska Native,547
CHINO,California,36,50989,34610,85599,4186,18666,3.62,CA,American Indian and Alaska Native,4790
TOMS RIVER,New Jersey,43,43864,43886,87750,5042,6852,2.71,NJ,White,79538
LYNN,Massachusetts,34,44598,47861,92459,3093,29899,2.81,MA,Black or African-American,18240
LYNN,Massachusetts,34,44598,47861,92459,3093,29899,2.81,MA,Asian,9205
LAWTON,Oklahoma,31,51099,45560,96659,11572,6123,2.72,OK,Black or African-American,25767
GARLAND,Texas,34,116406,120430,236836,10407,62975,3.12,TX,Hispanic or Latino,90989
GARLAND,Texas,34,116406,120430,236836,10407,62975,3.12,TX,Asian,27217
LAYTON,Utah,29,37748,36394,74142,3811,4268,3.24,UT,Asian,2889
BLOOMINGTON,Illinois,35,37972,40323,78295,3888,7287,2.34,IL,Asian,6549
NEWTON,Massachusetts,42,41985,46824,88809,1814,21692,2.71,MA,Black or African-American,2925
CLEARWATER,Florida,47,55225,57754,112979,10631,17686,2.4,FL,White,97195
CLEARWATER,Florida,47,55225,57754,112979,10631,17686,2.4,FL,Asian,2434
CLEARWATER,Florida,47,55225,57754,112979,10631,17686,2.4,FL,American Indian and Alaska Native,867
KENNER,Louisiana,36,33993,33113,67106,2485,12352,2.57,LA,Black or African-American,17172
LAS CRUCES,New Mexico,32,47835,53809,101644,9421,11888,2.58,NM,Asian,3266
YAKIMA,Washington,34,45147,48553,93700,4705,15717,2.74,WA,Hispanic or Latino,44172
DES MOINES,Iowa,34,103726,106591,210317,11780,23857,2.41,IA,Asian,15205
WICHITA FALLS,Texas,34,55775,48934,104709,7800,9855,2.41,TX,American Indian and Alaska Native,1503
HUNTSVILLE,Alabama,38,91764,97350,189114,16637,12691,2.18,AL,Hispanic or Latino,10887
WILMINGTON,North Carolina,35,52346,63601,115947,5908,7401,2.24,NC,Asian,3152
CRANSTON,Rhode Island,39,38365,42712,81077,4702,10631,2.56,RI,Asian,5978
AMARILLO,Texas,33,99391,100260,199651,11008,21124,2.64,TX,White,174214
EL PASO,Texas,33,332797,348339,681136,47693,159709,3.03,TX,Asian,12370
BUFFALO,New York,33,124537,133529,258066,11231,24630,2.27,NY,Asian,14518
LIVONIA,Michigan,47,45369,49264,94633,5397,7175,2.52,MI,White,87383
SAN LEANDRO,California,41,43032,47679,90711,4111,34293,2.79,CA,Hispanic or Latino,26894
FRESNO,California,30,256130,263942,520072,18410,103453,3.12,CA,American Indian and Alaska Native,11380
SAINT GEORGE,Utah,37,38732,41475,80207,4443,4824,2.81,UT,Black or African-American,1376
REDLANDS,California,36,33993,37035,71028,3445,8681,2.82,CA,White,55241
CHINO,California,36,50989,34610,85599,4186,18666,3.62,CA,Hispanic or Latino,45495
CHINO,California,36,50989,34610,85599,4186,18666,3.62,CA,White,44543
THOUSAND OAKS,California,44,65113,64216,129329,6323,25330,2.79,CA,White,108375
RIO RANCHO,New Mexico,38,47251,46904,94155,8527,5200,2.86,NM,American Indian and Alaska Native,4857
PROVO,Utah,23,56231,59027,115258,2177,10925,3.28,UT,White,108471
PROVO,Utah,23,56231,59027,115258,2177,10925,3.28,UT,American Indian and Alaska Native,1916
NEWTON,Massachusetts,42,41985,46824,88809,1814,21692,2.71,MA,Hispanic or Latino,4790
TALLAHASSEE,Florida,26,89390,100504,189894,9575,16720,2.38,FL,Hispanic or Latino,13538
AURORA,Illinois,31,101964,101751,203715,4988,50980,3.3,IL,Asian,17190
MINNEAPOLIS,Minnesota,32,206547,204388,410935,15217,70769,2.26,MN,Hispanic or Latino,39981
LAS CRUCES,New Mexico,32,47835,53809,101644,9421,11888,2.58,NM,White,91201
ANAHEIM,California,33,179603,171135,350738,9796,137133,3.45,CA,Hispanic or Latino,201593
SAN MARCOS,California,35,45246,47688,92934,5189,21558,3.13,CA,Black or African-American,4447
NORWALK,California,35,53125,54020,107145,3027,39396,3.88,CA,White,46998
FORT WORTH,Texas,32,414126,422843,836969,39182,143404,2.88,TX,White,575180
FORT WORTH,Texas,32,414126,422843,836969,39182,143404,2.88,TX,American Indian and Alaska Native,7504
CAMBRIDGE,Massachusetts,31,55421,54981,110402,2495,27757,2.06,MA,Asian,18441
DEERFIELD BEACH,Florida,41,37155,42614,79769,3882,23642,2.46,FL,White,53037
BEAUMONT,Texas,31,57326,60784,118110,7584,10516,2.47,TX,American Indian and Alaska Native,908
SPRING VALLEY,Nevada,37,96808,97147,193955,10644,61072,2.79,NV,Black or African-American,29031
SPRING VALLEY,Nevada,37,96808,97147,193955,10644,61072,2.79,NV,Asian,45059
SIOUX CITY,Iowa,34,38827,43949,82776,4093,7471,2.57,IA,White,70513
ALAFAYA,Florida,33,39504,45760,85264,4176,15842,2.94,FL,White,63666
WASHINGTON,District of Columbia,33,319705,352523,672228,25963,95117,2.24,DC,Black or African-American,328786
GRAND PRAIRIE,Texas,33,90811,96944,187755,7073,44888,3.18,TX,Black or African-American,54934
WAUKESHA,Wisconsin,35,36263,35713,71976,3116,4982,2.35,WI,White,66757
MIAMI BEACH,Florida,42,48090,44221,92311,2265,49908,2.1,FL,Asian,2772
NORTH LAS VEGAS,Nevada,32,116350,118443,234793,17256,49815,3.31,NV,American Indian and Alaska Native,4739
FORT SMITH,Arkansas,34,43346,44849,88195,3408,13177,2.44,AR,White,66004
AVONDALE,Arizona,29,38712,41971,80683,4815,8355,3.18,AZ,Asian,2828
SALINAS,California,30,77765,79621,157386,4020,58693,3.72,CA,Asian,11227
SPRINGFIELD,Illinois,38,55639,62170,117809,7525,4264,2.22,IL,Asian,3871
O'FALLON,Missouri,36,41762,43270,85032,5783,3269,2.77,MO,Black or African-American,5136
HIGH POINT,North Carolina,35,51751,58077,109828,5204,16315,2.65,NC,Black or African-American,39369
BELLINGHAM,Washington,30,41286,43857,85143,4703,8713,2.44,WA,American Indian and Alaska Native,2056
GREEN BAY,Wisconsin,32,52517,52704,105221,5519,9813,2.37,WI,Black or African-American,7561
MAPLE GROVE,Minnesota,38,31780,36601,68381,2943,7645,2.64,MN,White,59683
LAREDO,Texas,28,124305,131484,255789,4921,68427,3.66,TX,White,246442
ESCONDIDO,California,33,76551,74907,151458,8110,46298,3.27,CA,American Indian and Alaska Native,3151
ROCKFORD,Illinois,36,71076,78270,149346,8894,18323,2.52,IL,Hispanic or Latino,28923
MEMPHIS,Tennessee,34,312237,343523,655760,31189,43318,2.55,TN,Asian,15778
HAMPTON,Virginia,35,66214,70240,136454,19638,6204,2.48,VA,Hispanic or Latino,7513
METAIRIE,Louisiana,41,69515,76943,146458,7187,19871,2.39,LA,White,124270
TRACY,California,35,43156,43937,87093,3025,25410,3.42,CA,American Indian and Alaska Native,2120
CHAMPAIGN,Illinois,28,43326,42760,86086,3734,12261,2.25,IL,White,58099
WEST PALM BEACH,Florida,39,49262,57520,106782,4917,30675,2.53,FL,White,60648
BEAVERTON,Oregon,35,47325,49252,96577,4645,18933,2.46,OR,Black or African-American,3100
OGDEN,Utah,31,44323,41127,85450,5080,12791,2.68,UT,White,74960
DECATUR,Illinois,40,34646,38210,72856,5291,1224,2.23,IL,Hispanic or Latino,1709
FLINT,Michigan,35,48984,49313,98297,3757,2138,2.38,MI,Hispanic or Latino,2525
FLINT,Michigan,35,48984,49313,98297,3757,2138,2.38,MI,Black or African-American,55137
FLINT,Michigan,35,48984,49313,98297,3757,2138,2.38,MI,Asian,657
DANBURY,Connecticut,37,43435,41227,84662,3752,25675,2.74,CT,Hispanic or Latino,25145
FRAMINGHAM,Massachusetts,40,35442,35768,71210,2625,19070,2.49,MA,Hispanic or Latino,13000
POMPANO BEACH,Florida,42,56569,51202,107771,5145,32733,2.55,FL,Black or African-American,38653
NASHUA,New Hampshire,38,42926,45049,87975,5532,12693,2.46,NH,Hispanic or Latino,10511
VANCOUVER,Washington,37,82958,89895,172853,12391,21748,2.49,WA,Hispanic or Latino,23184
NASHVILLE,Tennessee,34,314231,340365,654596,27942,88193,2.39,TN,Asian,27355
TULSA,Oklahoma,35,197437,205654,403091,24672,43751,2.37,OK,Hispanic or Latino,61217
SEATTLE,Washington,35,345659,338784,684443,29364,119840,2.13,WA,White,511401
FARGO,North Dakota,30,60560,58690,119250,6154,9428,2.18,ND,Asian,4646
EL CAJON,California,32,54450,49238,103688,7103,31865,3.14,CA,Black or African-American,7534
LANCASTER,California,30,80668,80445,161113,7892,17247,3.25,CA,Asian,8654
WILMINGTON,Delaware,36,32680,39277,71957,3063,3336,2.45,DE,Asian,1193
WILMINGTON,Delaware,36,32680,39277,71957,3063,3336,2.45,DE,American Indian and Alaska Native,414
MIRAMAR,Florida,36,66157,70958,137115,3077,57179,3.41,FL,Black or African-American,65840
RIVERVIEW,Florida,32,44210,45536,89746,6943,12240,3.22,FL,American Indian and Alaska Native,726
ARLINGTON HEIGHTS,Illinois,45,37627,39369,76996,3027,14630,2.38,IL,Asian,9975
LORAIN,Ohio,35,30844,32807,63651,4905,1531,2.52,OH,American Indian and Alaska Native,904
MESQUITE,Texas,34,69240,75884,145124,6438,26755,2.96,TX,White,98597
APPLETON,Wisconsin,35,37217,38038,75255,4219,4454,2.49,WI,Black or African-American,3407
JOHNS CREEK,Georgia,39,40282,43057,83339,1983,29000,3.19,GA,Asian,24289
NAMPA,Idaho,31,45651,44199,89850,4736,6607,2.98,ID,American Indian and Alaska Native,2167
OMAHA,Nebraska,34,218789,225098,443887,24503,48263,2.47,NE,Asian,19105
STERLING HEIGHTS,Michigan,39,64985,67077,132062,6970,34313,2.66,MI,Black or African-American,8054
TACOMA,Washington,37,100914,107036,207950,19040,31863,2.48,WA,Black or African-American,30914
MANCHESTER,New Hampshire,37,54845,55378,110223,5473,14506,2.4,NH,Hispanic or Latino,11962
OVERLAND PARK,Kansas,38,93355,93156,186511,10461,21407,2.41,KS,White,161153
CICERO,Illinois,28,43153,40714,83867,629,33801,3.89,IL,Asian,1193
WESTON,Florida,38,32956,36991,69947,1507,30876,3.34,FL,Black or African-American,3697
MERIDIAN,Idaho,38,43353,47400,90753,5640,8110,2.54,ID,Asian,2693
MERIDIAN,Idaho,38,43353,47400,90753,5640,8110,2.54,ID,American Indian and Alaska Native,492
SALT LAKE CITY,Utah,32,98364,94296,192660,6829,32166,2.38,UT,American Indian and Alaska Native,3488
TRENTON,New Jersey,33,42581,41650,84231,2604,20428,3.04,NJ,Asian,1437
TEMECULA,California,34,54407,57619,112026,7587,18884,3.34,CA,Black or African-American,5698
SAINT CHARLES,Missouri,34,32054,36747,68801,4371,5274,2.33,MO,White,58662
ANTIOCH,California,34,54733,55809,110542,5681,24942,3.31,CA,White,51151
TULSA,Oklahoma,35,197437,205654,403091,24672,43751,2.37,OK,White,279127
EUGENE,Oregon,33,79071,84377,163448,8896,14503,2.34,OR,Asian,11073
EDINBURG,Texas,29,39422,45079,84501,2409,16569,3.31,TX,Hispanic or Latino,74698
HUNTINGTON BEACH,California,41,99967,101960,201927,10454,35368,2.67,CA,Hispanic or Latino,42303
TORRANCE,California,41,73209,75259,148468,8459,43096,2.7,CA,Black or African-American,5906
FARGO,North Dakota,30,60560,58690,119250,6154,9428,2.18,ND,Hispanic or Latino,3567
SOUTH BEND,Indiana,32,50483,53274,103757,3708,8779,2.72,IN,Asian,1788
BETHLEHEM,Pennsylvania,35,35861,38506,74367,4704,6295,2.46,PA,White,64526
EL CAJON,California,32,54450,49238,103688,7103,31865,3.14,CA,American Indian and Alaska Native,1891
LAKEWOOD,California,39,41523,40069,81592,4094,18274,3.13,CA,Hispanic or Latino,24987
APPLETON,Wisconsin,35,37217,38038,75255,4219,4454,2.49,WI,American Indian and Alaska Native,835
BIRMINGHAM,Alabama,35,102122,112789,214911,13212,8258,2.21,AL,Asian,1500
HAWTHORNE,California,33,43682,44762,88444,2123,32107,2.97,CA,American Indian and Alaska Native,906
BOCA RATON,Florida,47,44760,48466,93226,4367,21117,2.22,FL,White,80781
VISTA,California,29,50680,50204,100884,4957,23271,3.52,CA,Black or African-American,5164
BROCKTON,Massachusetts,35,46273,49041,95314,3036,27313,2.88,MA,American Indian and Alaska Native,881
NEW ROCHELLE,New York,40,38871,40967,79838,2780,26960,2.85,NY,White,44435
GREENSBORO,North Carolina,35,132251,153093,285344,14011,26667,2.36,NC,Hispanic or Latino,22147
DEARBORN,Michigan,33,46482,48698,95180,3163,23920,3.04,MI,White,88742
CHARLESTON,South Carolina,35,63956,71568,135524,9368,5767,2.4,SC,Asian,2773
ELIZABETH,New Jersey,34,65896,63116,129012,1131,63413,3.18,NJ,Black or African-American,29822
SYRACUSE,New York,30,69462,74690,144152,5845,17733,2.39,NY,Asian,9386
SAN BUENAVENTURA,California,37,53932,55785,109717,5980,18025,2.68,CA,Hispanic or Latino,38463
REDDING,California,38,42530,49049,91579,6926,5181,2.42,CA,Asian,5271
BUFFALO,New York,33,124537,133529,258066,11231,24630,2.27,NY,Hispanic or Latino,29656
SCOTTSDALE,Arizona,46,115712,121132,236844,16798,27207,2.17,AZ,Asian,11555
GLENDALE,Arizona,34,116795,123319,240114,13241,44133,2.89,AZ,White,202539
SAINT GEORGE,Utah,37,38732,41475,80207,4443,4824,2.81,UT,Hispanic or Latino,10829
FISHERS,Indiana,34,42161,43910,86071,2469,6138,2.8,IN,Hispanic or Latino,3409
WALDORF,Maryland,33,35640,39872,75512,6932,5954,2.69,MD,Hispanic or Latino,4810
RIO RANCHO,New Mexico,38,47251,46904,94155,8527,5200,2.86,NM,White,73022
LAS VEGAS,Nevada,37,310568,313201,623769,42397,127609,2.79,NV,American Indian and Alaska Native,8456
VICTORIA,Texas,35,32290,35291,67581,5000,4480,2.7,TX,White,58798
VICTORIA,Texas,35,32290,35291,67581,5000,4480,2.7,TX,Asian,2032
ANCHORAGE,Alaska,32,152945,145750,298695,27492,33258,2.77,AK,Hispanic or Latino,27261
SAN DIEGO,California,34,693826,701081,1394907,92489,373842,2.73,CA,White,949388
DAYTON,Ohio,32,66631,73966,140597,8465,7381,2.26,OH,Asian,1885
GLENDALE,California,42,98181,102844,201025,4448,111510,2.69,CA,White,146718
ANAHEIM,California,33,179603,171135,350738,9796,137133,3.45,CA,Black or African-American,9775
DES MOINES,Iowa,34,103726,106591,210317,11780,23857,2.41,IA,Black or African-American,26353
AUBURN,Washington,37,36837,39743,76580,5401,14842,2.73,WA,Asian,12341
PEORIA,Arizona,36,80139,91103,171242,13019,14260,2.97,AZ,Hispanic or Latino,41129
CHARLOTTE,North Carolina,34,396646,430475,827121,36046,128897,2.52,NC,Hispanic or Latino,113731
GULFPORT,Mississippi,35,33108,38764,71872,6646,3072,2.54,MS,Black or African-American,27799
ABILENE,Texas,31,65212,60664,125876,9367,8129,2.64,TX,American Indian and Alaska Native,1813
CENTREVILLE,Virginia,36,34749,37033,71782,3779,27797,2.97,VA,Asian,25058
PLEASANTON,California,41,36662,42857,79519,2424,23208,2.87,CA,Black or African-American,1919
ATLANTA,Georgia,33,223960,239915,463875,18572,32016,2.15,GA,Asian,24268
SAINT CHARLES,Missouri,34,32054,36747,68801,4371,5274,2.33,MO,American Indian and Alaska Native,681
WESTMINSTER,California,42,45538,46573,92111,3435,42227,3.27,CA,White,37593
WATERBURY,Connecticut,36,52235,56572,108807,3493,19967,2.71,CT,White,69075
WATERBURY,Connecticut,36,52235,56572,108807,3493,19967,2.71,CT,Black or African-American,26972
DAVIE,Florida,40,48754,52140,100894,4655,26532,2.72,FL,American Indian and Alaska Native,464
HOUSTON,Texas,32,1149686,1148942,2298628,71898,696210,2.66,TX,Asian,173854
CONCORD,California,39,62310,66358,128668,6287,37428,2.72,CA,White,92575
EAGAN,Minnesota,36,31587,34701,66288,2699,8642,2.49,MN,Hispanic or Latino,4328
DULUTH,Minnesota,34,41271,44855,86126,5015,2258,2.25,MN,Asian,1721
ELLICOTT CITY,Maryland,42,34406,36526,70932,3856,17587,2.73,MD,American Indian and Alaska Native,396
PORT SAINT LUCIE,Florida,42,84069,95341,179410,12416,34003,2.91,FL,Asian,7967
GREELEY,Colorado,31,50792,50091,100883,4294,11480,2.75,CO,White,92874
AMES,Iowa,23,33814,31238,65052,2265,8606,2.16,IA,White,56157
WEST JORDAN,Utah,30,57898,54044,111942,3577,11492,3.46,UT,Hispanic or Latino,21315
CHICO,California,29,46168,44168,90336,4519,8425,2.5,CA,Hispanic or Latino,15578
SIOUX CITY,Iowa,34,38827,43949,82776,4093,7471,2.57,IA,Black or African-American,3994
SIOUX CITY,Iowa,34,38827,43949,82776,4093,7471,2.57,IA,American Indian and Alaska Native,1956
WASHINGTON,District of Columbia,33,319705,352523,672228,25963,95117,2.24,DC,Hispanic or Latino,71129
CHINO HILLS,California,41,39639,38674,78313,3358,24764,3.05,CA,Asian,28132
NEW BEDFORD,Massachusetts,38,43793,51166,94959,4185,19024,2.39,MA,White,63938
AVONDALE,Arizona,29,38712,41971,80683,4815,8355,3.18,AZ,Hispanic or Latino,34716
SAN BERNARDINO,California,28,108671,107466,216137,7741,55135,3.55,CA,Black or African-American,36393
LONGMONT,Colorado,36,43941,48280,92221,4925,10424,2.63,CO,White,85853
LINCOLN,Nebraska,32,138544,138802,277346,14694,22958,2.4,NE,White,246677
PASCO,Washington,28,35298,32799,68097,2052,16265,3.45,WA,Asian,2215
CINCINNATI,Ohio,32,143654,154883,298537,13699,16896,2.08,OH,White,162245
NEW BRAUNFELS,Texas,37,33071,36852,69923,5204,5405,2.85,TX,Asian,1610
ESCONDIDO,California,33,76551,74907,151458,8110,46298,3.27,CA,Asian,14398
UNION CITY,New Jersey,35,35376,33773,69149,705,40553,2.85,NJ,Asian,4044
FONTANA,California,29,100644,106828,207472,4076,61448,4.15,CA,American Indian and Alaska Native,2656
MILWAUKEE,Wisconsin,31,286315,313839,600154,20615,58321,2.51,WI,American Indian and Alaska Native,10813
RACINE,Wisconsin,33,39314,38423,77737,4650,4403,2.56,WI,White,52445
SANTA MARIA,California,30,53320,51762,105082,2876,39192,3.83,CA,American Indian and Alaska Native,1575
SPARKS,Nevada,36,47780,48318,96098,7315,15690,2.63,NV,Black or African-American,4226
MARYSVILLE,Washington,33,33436,33337,66773,5714,7721,2.79,WA,Hispanic or Latino,7142
INGLEWOOD,California,34,52995,58661,111656,2703,34171,3.12,CA,Black or African-American,44991
CEDAR RAPIDS,Iowa,36,63109,67296,130405,7823,5404,2.32,IA,White,116851
GERMAN,Maryland,34,41115,43007,84122,2443,27877,2.95,MD,Hispanic or Latino,18202
HIGHLANDS RANCH,Colorado,39,49186,53281,102467,4840,8827,2.72,CO,Asian,5650
QUINCY,Massachusetts,41,44129,49500,93629,4147,32935,2.39,MA,Hispanic or Latino,2566
SPRING VALLEY,Nevada,37,96808,97147,193955,10644,61072,2.79,NV,Hispanic or Latino,40374
TUSTIN,California,33,39511,41052,80563,2434,25034,3.27,CA,Asian,16074
TUSTIN,California,33,39511,41052,80563,2434,25034,3.27,CA,American Indian and Alaska Native,538
SIOUX CITY,Iowa,34,38827,43949,82776,4093,7471,2.57,IA,Hispanic or Latino,15602
KENT,Washington,33,61825,65137,126962,7985,38175,3.06,WA,Asian,26168
NEW BEDFORD,Massachusetts,38,43793,51166,94959,4185,19024,2.39,MA,Hispanic or Latino,18336
URBAN HONOLULU,Hawaii,41,176807,175959,352766,23213,101312,2.69,HI,Asian,240978
RICHMOND,California,35,52615,57100,109715,3611,42215,2.87,CA,Black or African-American,27434
DELTONA,Florida,39,44853,43621,88474,5664,7098,2.89,FL,Hispanic or Latino,31357
KISSIMMEE,Florida,36,33283,35869,69152,2449,16879,3.01,FL,Hispanic or Latino,44120
SPRINGFIELD,Massachusetts,31,74744,79592,154336,5723,16226,2.81,MA,Asian,5606
SPRINGFIELD,Massachusetts,31,74744,79592,154336,5723,16226,2.81,MA,American Indian and Alaska Native,2087
FORT SMITH,Arkansas,34,43346,44849,88195,3408,13177,2.44,AR,Black or African-American,9851
